NUMBER          BINARY                    HEXADECIMAL         
------------------------------------------------------------
826             1100111010                33A                 
92              1011100                   5C                  
974             1111001110                3CE                 
151             10010111                  97                  
79              1001111                   4F                  
544             1000100000                220                 
746             1011101010                2EA                 
438             110110110                 1B6                 
161             10100001                  A1                  
951             1110110111                3B7                 
357             101100101                 165                 
884             1101110100                374                 
63              111111                    3F                  
763             1011111011                2FB                 
289             100100001                 121                 
721             1011010001                2D1                 
765             1011111101                2FD                 
187             10111011                  BB                  
147             10010011                  93                  
639             1001111111                27F                 
807             1100100111                327                 
319             100111111                 13F                 
96              1100000                   60                  
524             1000001100                20C                 
866             1101100010                362                 
199             11000111                  C7                  
319             100111111                 13F                 
917             1110010101                395                 
722             1011010010                2D2                 
137             10001001                  89                  
720             1011010000                2D0                 
917             1110010101                395                 
444             110111100                 1BC                 
504             111111000                 1F8                 
292             100100100                 124                 
516             1000000100                204                 
340             101010100                 154                 
107             1101011                   6B                  
287             100011111                 11F                 
43              101011                    2B                  
679             1010100111                2A7                 
381             101111101                 17D                 
857             1101011001                359                 
742             1011100110                2E6                 
441             110111001                 1B9                 
265             100001001                 109                 
407             110010111                 197                 
659             1010010011                293                 
856             1101011000                358                 
397             110001101                 18D                 
309             100110101                 135                 
275             100010011                 113                 
33              100001                    21                  
404             110010100                 194                 
403             110010011                 193                 
667             1010011011                29B                 
541             1000011101                21D                 
485             111100101                 1E5                 
723             1011010011                2D3                 
322             101000010                 142                 
100             1100100                   64                  
766             1011111110                2FE                 
519             1000000111                207                 
470             111010110                 1D6                 
10              1010                      A                   
414             110011110                 19E                 
193             11000001                  C1                  
276             100010100                 114                 
3               11                        3                   
343             101010111                 157                 
26              11010                     1A                  
967             1111000111                3C7                 
453             111000101                 1C5                 
437             110110101                 1B5                 
964             1111000100                3C4                 
952             1110111000                3B8                 
384             110000000                 180                 
511             111111111                 1FF                 
263             100000111                 107                 
662             1010010110                296                 
45              101101                    2D                  
55              110111                    37                  
582             1001000110                246                 
830             1100111110                33E                 
263             100000111                 107                 
967             1111000111                3C7                 
429             110101101                 1AD                 
193             11000001                  C1                  
764             1011111100                2FC                 
128             10000000                  80                  
623             1001101111                26F                 
866             1101100010                362                 
673             1010100001                2A1                 
39              100111                    27                  
753             1011110001                2F1                 
670             1010011110                29E                 
527             1000001111                20F                 
529             1000010001                211                 
565             1000110101                235                 
887             1101110111                377                 

Execution Time: 0.000674 seconds
